date,city,temperature
8/4/2012,New York,79.6
8/4/2012,San Francisco,54.1
8/4/2012,Austin,86
8/5/2012,New York,81.5
8/5/2012,San Francisco,57.8
8/5/2012,Austin,84.2
8/6/2012,New York,80
8/6/2012,San Francisco,58.2
8/6/2012,Austin,81.9
8/7/2012,New York,75.7
8/7/2012,San Francisco,58
8/7/2012,Austin,86.5
8/8/2012,New York,77.8
8/8/2012,San Francisco,57
8/8/2012,Austin,86.1
8/9/2012,New York,78.6
8/9/2012,San Francisco,55
8/9/2012,Austin,86.8
8/10/2012,New York,77.8
8/10/2012,San Francisco,54.8
8/10/2012,Austin,88
8/11/2012,New York,78.5
8/11/2012,San Francisco,53
8/11/2012,Austin,85.1
8/12/2012,New York,78.8
8/12/2012,San Francisco,52.5
8/12/2012,Austin,87.4
8/13/2012,New York,78.6
8/13/2012,San Francisco,53.3
8/13/2012,Austin,88
8/14/2012,New York,76.8
8/14/2012,San Francisco,53.9
8/14/2012,Austin,88
8/15/2012,New York,76.7
8/15/2012,San Francisco,56.2
8/15/2012,Austin,87.2
8/16/2012,New York,75.9
8/16/2012,San Francisco,57.1
8/16/2012,Austin,86.1
8/17/2012,New York,77.6
8/17/2012,San Francisco,55.3
8/17/2012,Austin,86.8
8/18/2012,New York,72.6
8/18/2012,San Francisco,56.2
8/18/2012,Austin,84.9
8/19/2012,New York,70.4
8/19/2012,San Francisco,54.3
8/19/2012,Austin,76.8
8/20/2012,New York,71.8
8/20/2012,San Francisco,53.1
8/20/2012,Austin,80.6
8/21/2012,New York,73.6
8/21/2012,San Francisco,53.4
8/21/2012,Austin,80
8/22/2012,New York,74.7
8/22/2012,San Francisco,54.5
8/22/2012,Austin,78.2
8/23/2012,New York,74.6
8/23/2012,San Francisco,55.7
8/23/2012,Austin,79.1
8/24/2012,New York,76
8/24/2012,San Francisco,54.8
8/24/2012,Austin,81.9
8/25/2012,New York,76.2
8/25/2012,San Francisco,53.8
8/25/2012,Austin,84.7
8/26/2012,New York,73.4
8/26/2012,San Francisco,56.5
8/26/2012,Austin,83.5
8/27/2012,New York,74.6
8/27/2012,San Francisco,58.3
8/27/2012,Austin,82.1
8/28/2012,New York,79.4
8/28/2012,San Francisco,58.7
8/28/2012,Austin,84
8/29/2012,New York,74.7
8/29/2012,San Francisco,57.5
8/29/2012,Austin,85.7
8/30/2012,New York,73.5
8/30/2012,San Francisco,55.9
8/30/2012,Austin,87.2
8/31/2012,New York,77.9
8/31/2012,San Francisco,55.4
8/31/2012,Austin,82.9
9/1/2012,New York,80.7
9/1/2012,San Francisco,55.7
9/1/2012,Austin,84.8
9/2/2012,New York,75.1
9/2/2012,San Francisco,53.1
9/2/2012,Austin,83.9
9/3/2012,New York,73.5
9/3/2012,San Francisco,53.5
9/3/2012,Austin,85.5
9/4/2012,New York,73.5
9/4/2012,San Francisco,52.5
9/4/2012,Austin,86.4
9/5/2012,New York,77.7
9/5/2012,San Francisco,54.5
9/5/2012,Austin,85.8
9/6/2012,New York,74.2
9/6/2012,San Francisco,56.3
9/6/2012,Austin,85.4
9/7/2012,New York,76
9/7/2012,San Francisco,56.4
9/7/2012,Austin,85.3
9/8/2012,New York,77.1
9/8/2012,San Francisco,56.5
9/8/2012,Austin,81.9
9/9/2012,New York,69.7
9/9/2012,San Francisco,56.4
9/9/2012,Austin,74.8
9/10/2012,New York,67.8
9/10/2012,San Francisco,55.4
9/10/2012,Austin,71.6
9/11/2012,New York,64
9/11/2012,San Francisco,56.2
9/11/2012,Austin,75.9
9/12/2012,New York,68.1
9/12/2012,San Francisco,55.7
9/12/2012,Austin,82.1
9/13/2012,New York,69.3
9/13/2012,San Francisco,54.3
9/13/2012,Austin,80.5
9/14/2012,New York,70
9/14/2012,San Francisco,55.2
9/14/2012,Austin,70
9/15/2012,New York,69.3
9/15/2012,San Francisco,54.3
9/15/2012,Austin,71.2
9/16/2012,New York,66.3
9/16/2012,San Francisco,52.9
9/16/2012,Austin,70.3
9/17/2012,New York,67
9/17/2012,San Francisco,54.8
9/17/2012,Austin,72.1
9/18/2012,New York,72.8
9/18/2012,San Francisco,54.8
9/18/2012,Austin,73.7
9/19/2012,New York,67.2
9/19/2012,San Francisco,56.8
9/19/2012,Austin,72.7
9/20/2012,New York,62.1
9/20/2012,San Francisco,55.4
9/20/2012,Austin,71.7
9/21/2012,New York,64
9/21/2012,San Francisco,55.8
9/21/2012,Austin,72.9
9/22/2012,New York,65.5
9/22/2012,San Francisco,55.9
9/22/2012,Austin,73.1
9/23/2012,New York,65.7
9/23/2012,San Francisco,52.8
9/23/2012,Austin,75.6
9/24/2012,New York,60.4
9/24/2012,San Francisco,54.5
9/24/2012,Austin,78.3
9/25/2012,New York,63.2
9/25/2012,San Francisco,53.3
9/25/2012,Austin,78.3
9/26/2012,New York,68.5
9/26/2012,San Francisco,53.6
9/26/2012,Austin,79.6
9/27/2012,New York,69.2
9/27/2012,San Francisco,52.1
9/27/2012,Austin,76.4
9/28/2012,New York,68.7
9/28/2012,San Francisco,52.6
9/28/2012,Austin,77.2
9/29/2012,New York,62.5
9/29/2012,San Francisco,53.9
9/29/2012,Austin,75.2
9/30/2012,New York,62.3
9/30/2012,San Francisco,55.1
9/30/2012,Austin,71.9
