date,city,temperature
12/1/2011,San Francisco,60.4
12/1/2011,Austin,48.1
12/2/2011,New York,43.9
12/2/2011,San Francisco,62.2
12/2/2011,Austin,60.6
12/3/2011,New York,42.1
12/3/2011,San Francisco,58.3
12/3/2011,Austin,62.6
12/4/2011,New York,43.9
12/4/2011,San Francisco,52.7
12/4/2011,Austin,57.1
12/5/2011,New York,50.2
12/5/2011,San Francisco,51.5
12/5/2011,Austin,44.2
12/6/2011,New York,54.2
12/6/2011,San Francisco,49.9
12/6/2011,Austin,37.4
12/7/2011,New York,54.6
12/7/2011,San Francisco,48.6
12/7/2011,Austin,35
12/8/2011,New York,43.4
12/8/2011,San Francisco,46.4
12/8/2011,Austin,37
12/9/2011,New York,42.2
12/9/2011,San Francisco,49.8
12/9/2011,Austin,45.4
12/10/2011,New York,45
12/10/2011,San Francisco,52.1
12/10/2011,Austin,50.7
12/11/2011,New York,33.8
12/11/2011,San Francisco,48.8
12/11/2011,Austin,48.6
12/12/2011,New York,36.8
12/12/2011,San Francisco,47.4
12/12/2011,Austin,52.2
12/13/2011,New York,38.6
12/13/2011,San Francisco,47.2
12/13/2011,Austin,60.8
12/14/2011,New York,41.9
12/14/2011,San Francisco,46.1
12/14/2011,Austin,70
12/15/2011,New York,49.6
12/15/2011,San Francisco,48.8
12/15/2011,Austin,64.2
12/16/2011,New York,50.2
12/16/2011,San Francisco,47.9
12/16/2011,Austin,50.9
12/17/2011,New York,40.6
12/17/2011,San Francisco,49.8
12/17/2011,Austin,51.6
12/18/2011,New York,29.1
12/18/2011,San Francisco,49.1
12/18/2011,Austin,55.2
12/19/2011,New York,33.7
12/19/2011,San Francisco,48.3
12/19/2011,Austin,62.1
12/20/2011,New York,45.8
12/20/2011,San Francisco,49.3
12/20/2011,Austin,56.3
12/21/2011,New York,47.4
12/21/2011,San Francisco,48.4
12/21/2011,Austin,47.2
12/22/2011,New York,54.4
12/22/2011,San Francisco,53.3
12/22/2011,Austin,52.3
12/23/2011,New York,47.8
12/23/2011,San Francisco,47.5
12/23/2011,Austin,45.2
12/24/2011,New York,34.9
12/24/2011,San Francisco,47.9
12/24/2011,Austin,43.6
12/25/2011,New York,35.9
12/25/2011,San Francisco,48.9
12/25/2011,Austin,42.9
12/26/2011,New York,43.6
12/26/2011,San Francisco,45.9
12/26/2011,Austin,48.2
12/27/2011,New York,42.9
12/27/2011,San Francisco,47.2
12/27/2011,Austin,45.4
12/28/2011,New York,46.2
12/28/2011,San Francisco,48.9
12/28/2011,Austin,44.2
12/29/2011,New York,30.8
12/29/2011,San Francisco,50.9
12/29/2011,Austin,50.4
12/30/2011,New York,40.8
12/30/2011,San Francisco,52.9
12/30/2011,Austin,52.4
12/31/2011,New York,49.8
12/31/2011,San Francisco,50.1
12/31/2011,Austin,53.5
1/1/2012,New York,46.3
1/1/2012,San Francisco,53.9
1/1/2012,Austin,55.9
1/2/2012,New York,43.2
1/2/2012,San Francisco,53.1
1/2/2012,Austin,48.2
1/3/2012,New York,30.3
1/3/2012,San Francisco,49.7
1/3/2012,Austin,41
1/4/2012,New York,19.2
1/4/2012,San Francisco,52.7
1/4/2012,Austin,48.9
1/5/2012,New York,32.1
1/5/2012,San Francisco,52.6
1/5/2012,Austin,54.8
1/6/2012,New York,41.2
1/6/2012,San Francisco,49
1/6/2012,Austin,61.2
1/7/2012,New York,47
1/7/2012,San Francisco,51
1/7/2012,Austin,59.7
1/8/2012,New York,46
1/8/2012,San Francisco,56.8
1/8/2012,Austin,52.5
1/9/2012,New York,34.7
1/9/2012,San Francisco,52.3
1/9/2012,Austin,54
1/10/2012,New York,39.4
1/10/2012,San Francisco,51.6
1/10/2012,Austin,47.7
1/11/2012,New York,40.4
1/11/2012,San Francisco,49.8
1/11/2012,Austin,49.2
1/12/2012,New York,45.4
1/12/2012,San Francisco,51.9
1/12/2012,Austin,48.4
1/13/2012,New York,40.7
1/13/2012,San Francisco,53.7
1/13/2012,Austin,40.2
1/14/2012,New York,30.4
1/14/2012,San Francisco,52.9
1/14/2012,Austin,43.9
1/15/2012,New York,23.9
1/15/2012,San Francisco,49.7
1/15/2012,Austin,45.2
1/16/2012,New York,22.6
1/16/2012,San Francisco,45.3
1/16/2012,Austin,65
1/17/2012,New York,39.8
1/17/2012,San Francisco,43.6
1/17/2012,Austin,68.2
1/18/2012,New York,43.2
1/18/2012,San Francisco,45
1/18/2012,Austin,47.5
1/19/2012,New York,26.3
1/19/2012,San Francisco,47.3
1/19/2012,Austin,57.1
1/20/2012,New York,32.8
1/20/2012,San Francisco,51.4
1/20/2012,Austin,61.9
1/21/2012,New York,27.4
1/21/2012,San Francisco,53.7
1/21/2012,Austin,54.6
1/22/2012,New York,25
1/22/2012,San Francisco,48.3
1/22/2012,Austin,56.7
1/23/2012,New York,39.4
1/23/2012,San Francisco,52.9
1/23/2012,Austin,54.4
1/24/2012,New York,48.7
1/24/2012,San Francisco,49.1
1/24/2012,Austin,52.7
1/25/2012,New York,43
1/25/2012,San Francisco,52.1
1/25/2012,Austin,61.8
1/26/2012,New York,37.1
1/26/2012,San Francisco,53.6
1/26/2012,Austin,55
1/27/2012,New York,48.2
1/27/2012,San Francisco,50.4
1/27/2012,Austin,50.7
1/28/2012,New York,43.7
1/28/2012,San Francisco,50.3
1/28/2012,Austin,52.9
1/29/2012,New York,40.1
1/29/2012,San Francisco,53.8
1/29/2012,Austin,44.4
1/30/2012,New York,38
1/30/2012,San Francisco,51.9
1/30/2012,Austin,49.1
1/31/2012,New York,43.5
1/31/2012,San Francisco,50
1/31/2012,Austin,62.8
2/1/2012,New York,50.4
2/1/2012,San Francisco,50
2/1/2012,Austin,64.6
2/2/2012,New York,45.8
2/2/2012,San Francisco,51.3
2/2/2012,Austin,61.1
2/3/2012,New York,37.5
2/3/2012,San Francisco,51.5
2/3/2012,Austin,70
2/4/2012,New York,40.8
2/4/2012,San Francisco,52
2/4/2012,Austin,61.3
2/5/2012,New York,36.5
2/5/2012,San Francisco,53.8
2/5/2012,Austin,48.2
2/6/2012,New York,39.1
2/6/2012,San Francisco,54.6
2/6/2012,Austin,44.2
2/7/2012,New York,43.2
2/7/2012,San Francisco,54.3
2/7/2012,Austin,51.3
2/8/2012,New York,36.5
2/8/2012,San Francisco,51.9
2/8/2012,Austin,49.2
2/9/2012,New York,36.5
2/9/2012,San Francisco,53.8
2/9/2012,Austin,45.7
2/10/2012,New York,38.3
2/10/2012,San Francisco,53.9
2/10/2012,Austin,54.1
2/11/2012,New York,36.9
